"scen","rcp","year","month","densi","densf","Kits","Juveniles","Adults","date","nucleus","run","temp.pert"
"GISS-E2-H","historical",5,2,30,30,0,0,30,"1994-02-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",5,3,30,30,0,0,30,"1994-03-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",5,4,30,30,0,0,30,"1994-04-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",5,5,30,30,0,0,30,"1994-05-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",5,6,30,30,0,0,30,"1994-06-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",5,7,30,30,0,0,30,"1994-07-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",5,8,30,29,0,0,29,"1994-08-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",5,9,30,30,0,0,30,"1994-09-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",5,10,30,29,0,0,29,"1994-10-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",5,11,30,30,0,0,30,"1994-11-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",5,12,30,29,0,0,29,"1994-12-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",6,1,30,29,0,0,29,"1995-01-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",6,2,30,30,0,0,30,"1995-02-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",6,3,30,30,0,0,30,"1995-03-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",6,4,30,30,0,0,30,"1995-04-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",6,5,30,29,0,0,29,"1995-05-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",6,6,30,30,0,0,30,"1995-06-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",6,7,30,30,0,0,30,"1995-07-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",6,8,30,30,0,0,30,"1995-08-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",6,9,30,30,0,0,30,"1995-09-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",6,10,30,30,0,0,30,"1995-10-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",6,11,30,30,0,0,30,"1995-11-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",6,12,30,30,0,0,30,"1995-12-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",7,1,30,30,0,0,30,"1996-01-05","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",7,2,30,30,0,0,30,"1996-02-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",7,3,30,32,2,0,30,"1996-03-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",7,4,35,34,0,4,30,"1996-04-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",7,5,35,35,0,5,30,"1996-05-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",7,6,35,33,0,3,30,"1996-06-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",7,7,35,35,0,0,35,"1996-07-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",7,8,35,35,0,0,35,"1996-08-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",7,9,35,35,0,0,35,"1996-09-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",7,10,35,35,0,0,35,"1996-10-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",7,11,35,35,0,0,35,"1996-11-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",7,12,35,34,0,0,34,"1996-12-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",8,1,35,35,0,0,35,"1997-01-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",8,2,35,34,0,0,34,"1997-02-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",8,3,35,35,0,0,35,"1997-03-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",8,4,35,34,0,0,34,"1997-04-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",8,5,35,35,0,0,35,"1997-05-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",8,6,35,35,0,0,35,"1997-06-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",8,7,35,35,0,0,35,"1997-07-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",8,8,35,35,0,0,35,"1997-08-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",8,9,35,35,0,0,35,"1997-09-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",8,10,35,35,0,0,35,"1997-10-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",8,11,35,34,0,0,34,"1997-11-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",8,12,35,35,0,0,35,"1997-12-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",9,1,35,35,0,0,35,"1998-01-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",9,2,35,35,0,0,35,"1998-02-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",9,3,35,33,0,0,33,"1998-03-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",9,4,35,34,0,0,34,"1998-04-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",9,5,35,35,0,0,35,"1998-05-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",9,6,35,35,0,0,35,"1998-06-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",9,7,35,35,0,0,35,"1998-07-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",9,8,35,34,0,0,34,"1998-08-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",9,9,35,35,0,0,35,"1998-09-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",9,10,35,35,0,0,35,"1998-10-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",9,11,35,35,0,0,35,"1998-11-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",9,12,35,35,0,0,35,"1998-12-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",10,1,35,35,0,0,35,"1999-01-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",10,2,35,35,0,0,35,"1999-02-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",10,3,35,34,0,0,34,"1999-03-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",10,4,35,35,0,0,35,"1999-04-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",10,5,35,35,0,0,35,"1999-05-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",10,6,35,35,0,0,35,"1999-06-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",10,7,35,35,0,0,35,"1999-07-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",10,8,35,35,0,0,35,"1999-08-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",10,9,35,35,0,0,35,"1999-09-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",10,10,35,35,0,0,35,"1999-10-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",10,11,35,34,0,0,34,"1999-11-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",10,12,35,33,0,0,33,"1999-12-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",11,1,35,35,0,0,35,"2000-01-04","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",11,2,35,34,0,0,34,"2000-02-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",11,3,35,35,0,0,35,"2000-03-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",11,4,35,34,0,0,34,"2000-04-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",11,5,35,35,0,0,35,"2000-05-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",11,6,35,35,0,0,35,"2000-06-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",11,7,35,35,0,0,35,"2000-07-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",11,8,35,35,0,0,35,"2000-08-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",11,9,35,35,0,0,35,"2000-09-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",11,10,35,35,0,0,35,"2000-10-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",11,11,35,35,0,0,35,"2000-11-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",11,12,35,35,0,0,35,"2000-12-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",12,1,35,35,0,0,35,"2001-01-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",12,2,35,35,0,0,35,"2001-02-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",12,3,35,35,0,0,35,"2001-03-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",12,4,35,35,0,0,35,"2001-04-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",12,5,37,35,0,0,35,"2001-05-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",12,6,37,37,0,2,35,"2001-06-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",12,7,37,36,0,1,35,"2001-07-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",12,8,37,37,0,0,37,"2001-08-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",12,9,37,36,0,0,36,"2001-09-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",12,10,37,37,0,0,37,"2001-10-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",12,11,37,37,0,0,37,"2001-11-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",12,12,37,37,0,0,37,"2001-12-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",13,1,37,37,0,0,37,"2002-01-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",13,2,37,37,0,0,37,"2002-02-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",13,3,37,37,0,0,37,"2002-03-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",13,4,37,37,0,0,37,"2002-04-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",13,5,37,36,0,0,36,"2002-05-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",13,6,37,37,0,0,37,"2002-06-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",13,7,37,37,0,0,37,"2002-07-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",13,8,37,36,0,0,36,"2002-08-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",13,9,37,35,0,0,35,"2002-09-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",13,10,37,35,0,0,35,"2002-10-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",13,11,37,37,0,0,37,"2002-11-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",13,12,37,37,0,0,37,"2002-12-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",14,1,37,37,0,0,37,"2003-01-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",14,2,37,37,0,0,37,"2003-02-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",14,3,37,37,0,0,37,"2003-03-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",14,4,37,36,0,0,36,"2003-04-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",14,5,37,37,0,0,37,"2003-05-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",14,6,37,37,0,0,37,"2003-06-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",14,7,37,37,0,0,37,"2003-07-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",14,8,37,37,0,0,37,"2003-08-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",14,9,37,37,0,0,37,"2003-09-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",14,10,37,36,0,0,36,"2003-10-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",14,11,37,37,0,0,37,"2003-11-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",14,12,37,36,0,0,36,"2003-12-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",15,1,37,36,0,0,36,"2004-01-03","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",15,2,37,37,0,0,37,"2004-02-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",15,3,37,37,0,0,37,"2004-03-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",15,4,37,37,0,0,37,"2004-04-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",15,5,37,35,0,0,35,"2004-05-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",15,6,37,37,0,0,37,"2004-06-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",15,7,37,37,0,0,37,"2004-07-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",15,8,37,37,0,0,37,"2004-08-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",15,9,37,37,0,0,37,"2004-09-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",15,10,37,37,0,0,37,"2004-10-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",15,11,37,37,0,0,37,"2004-11-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",15,12,37,37,0,0,37,"2004-12-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",16,1,37,36,0,0,36,"2005-01-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",16,2,37,37,0,0,37,"2005-02-01","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",16,3,37,36,0,0,36,"2005-03-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",16,4,37,37,0,0,37,"2005-04-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",16,5,37,37,0,0,37,"2005-05-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",16,6,37,37,0,0,37,"2005-06-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",16,7,37,37,0,0,37,"2005-07-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",16,8,37,36,0,0,36,"2005-08-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",16,9,37,37,0,0,37,"2005-09-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",16,10,37,37,0,0,37,"2005-10-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",16,11,37,37,0,0,37,"2005-11-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",16,12,37,37,0,0,37,"2005-12-02","Donana-Aljarafe",23,"min"
"GISS-E2-H","historical",1,1,30,30,0,0,30,"1990-01-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",1,2,30,30,0,0,30,"1990-02-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",1,3,30,30,0,0,30,"1990-03-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",1,4,30,30,0,0,30,"1990-04-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",1,5,30,30,0,0,30,"1990-05-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",1,6,30,30,0,0,30,"1990-06-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",1,7,30,30,0,0,30,"1990-07-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",1,8,30,30,0,0,30,"1990-08-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",1,9,30,29,0,0,29,"1990-09-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",1,10,30,30,0,0,30,"1990-10-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",1,11,30,29,0,0,29,"1990-11-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",1,12,30,30,0,0,30,"1990-12-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",2,1,30,30,0,0,30,"1991-01-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",2,2,30,30,0,0,30,"1991-02-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",2,3,30,30,0,0,30,"1991-03-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",2,4,30,30,0,0,30,"1991-04-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",2,5,30,30,0,0,30,"1991-05-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",2,6,30,30,0,0,30,"1991-06-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",2,7,30,30,0,0,30,"1991-07-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",2,8,30,30,0,0,30,"1991-08-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",2,9,30,29,0,0,29,"1991-09-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",2,10,30,30,0,0,30,"1991-10-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",2,11,30,30,0,0,30,"1991-11-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",2,12,30,30,0,0,30,"1991-12-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",3,1,30,30,0,0,30,"1992-01-06","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",3,2,30,30,0,0,30,"1992-02-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",3,3,30,30,0,0,30,"1992-03-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",3,4,30,30,0,0,30,"1992-04-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",3,5,30,30,0,0,30,"1992-05-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",3,6,30,30,0,0,30,"1992-06-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",3,7,30,30,0,0,30,"1992-07-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",3,8,30,29,0,0,29,"1992-08-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",3,9,30,27,0,0,27,"1992-09-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",3,10,30,30,0,0,30,"1992-10-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",3,11,30,30,0,0,30,"1992-11-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",3,12,30,30,0,0,30,"1992-12-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",4,1,30,30,0,0,30,"1993-01-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",4,2,30,30,0,0,30,"1993-02-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",4,3,33,31,0,1,30,"1993-03-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",4,4,33,31,0,1,30,"1993-04-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",4,5,33,31,0,2,29,"1993-05-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",4,6,33,33,0,0,33,"1993-06-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",4,7,33,33,0,0,33,"1993-07-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",4,8,33,33,0,0,33,"1993-08-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",4,9,33,30,0,0,30,"1993-09-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",4,10,33,33,0,0,33,"1993-10-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",4,11,33,33,0,0,33,"1993-11-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",4,12,33,32,0,0,32,"1993-12-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",5,1,33,33,0,0,33,"1994-01-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",5,2,33,33,0,0,33,"1994-02-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",5,3,33,32,0,0,32,"1994-03-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",5,4,33,32,0,0,32,"1994-04-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",5,5,33,33,0,0,33,"1994-05-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",5,6,33,33,0,0,33,"1994-06-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",5,7,33,32,0,0,32,"1994-07-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",5,8,33,33,0,0,33,"1994-08-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",5,9,33,29,0,0,29,"1994-09-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",5,10,33,33,0,0,33,"1994-10-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",5,11,33,32,0,0,32,"1994-11-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",5,12,33,32,0,0,32,"1994-12-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",6,1,33,33,0,0,33,"1995-01-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",6,2,33,32,0,0,32,"1995-02-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",6,3,33,33,0,0,33,"1995-03-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",6,4,33,33,0,0,33,"1995-04-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",6,5,33,33,0,0,33,"1995-05-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",6,6,33,33,0,0,33,"1995-06-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",6,7,33,33,0,0,33,"1995-07-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",6,8,33,32,0,0,32,"1995-08-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",6,9,33,32,0,0,32,"1995-09-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",6,10,33,32,0,0,32,"1995-10-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",6,11,33,31,0,0,31,"1995-11-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",6,12,33,33,0,0,33,"1995-12-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",7,1,33,33,0,0,33,"1996-01-05","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",7,2,33,32,0,0,32,"1996-02-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",7,3,33,33,0,0,33,"1996-03-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",7,4,33,32,0,0,32,"1996-04-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",7,5,33,33,0,0,33,"1996-05-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",7,6,33,32,0,0,32,"1996-06-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",7,7,33,33,0,0,33,"1996-07-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",7,8,33,33,0,0,33,"1996-08-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",7,9,33,28,0,0,28,"1996-09-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",7,10,33,33,0,0,33,"1996-10-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",7,11,33,33,0,0,33,"1996-11-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",7,12,33,33,0,0,33,"1996-12-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",8,1,33,33,0,0,33,"1997-01-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",8,2,33,33,0,0,33,"1997-02-03","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",8,3,33,33,0,0,33,"1997-03-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",8,4,33,33,0,0,33,"1997-04-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",8,5,33,33,0,0,33,"1997-05-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",8,6,33,33,0,0,33,"1997-06-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",8,7,33,33,0,0,33,"1997-07-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",8,8,33,33,0,0,33,"1997-08-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",8,9,33,30,0,0,30,"1997-09-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",8,10,33,32,0,0,32,"1997-10-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",8,11,33,33,0,0,33,"1997-11-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",8,12,33,33,0,0,33,"1997-12-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",9,1,33,32,0,0,32,"1998-01-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",9,2,33,33,0,0,33,"1998-02-03","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",9,3,33,33,0,0,33,"1998-03-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",9,4,33,32,0,0,32,"1998-04-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",9,5,36,35,0,2,33,"1998-05-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",9,6,36,36,0,3,33,"1998-06-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",9,7,36,34,0,1,33,"1998-07-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",9,8,36,34,0,0,34,"1998-08-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",9,9,36,34,0,0,34,"1998-09-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",9,10,36,36,0,0,36,"1998-10-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",9,11,36,36,0,0,36,"1998-11-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",9,12,36,36,0,0,36,"1998-12-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",10,1,36,36,0,0,36,"1999-01-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",10,2,36,36,0,0,36,"1999-02-03","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",10,3,36,36,0,0,36,"1999-03-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",10,4,36,36,0,0,36,"1999-04-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",10,5,36,36,0,0,36,"1999-05-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",10,6,36,36,0,0,36,"1999-06-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",10,7,36,35,0,0,35,"1999-07-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",10,8,36,36,0,0,36,"1999-08-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",10,9,36,36,0,0,36,"1999-09-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",10,10,36,34,0,0,34,"1999-10-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",10,11,36,36,0,0,36,"1999-11-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",10,12,36,36,0,0,36,"1999-12-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",11,1,36,34,0,0,34,"2000-01-04","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",11,2,36,36,0,0,36,"2000-02-03","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",11,3,36,36,0,0,36,"2000-03-03","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",11,4,36,35,0,0,35,"2000-04-03","Donana-Aljarafe",23,"max"
"GISS-E2-H","historical",11,5,36,36,0,0,36,"2000-05-03","Donana-Aljarafe",23,"max"
